dataset,stage,fit_on,frozen,evaluated_on,note,timestamp
-,notebook_start,-,Wav2Vec2 frozen; DistilBERT frozen; no ASR/intent retraining,-,"Notebook 18 consumes existing VoxIntel-R artifacts. Order: slurp, fsc",2026-09-05T13:57:49.912745+00:00
slurp,load_artifact,-,existing VoxIntel-R artifact,existing evaluation population (8688),Loaded voxintel_r_predictions.csv; risk_column=voxintel_r_risk; no artificial split created.,2026-09-05T13:57:50.389792+00:00
fsc,load_artifact,validation (3118),frozen VoxIntel-R feature artifact,test (3793),"Loaded fsc_voxintel_r_features.csv; val=3118, test=3793; risk_column=None.",2026-09-05T13:57:50.468100+00:00
slurp,integrity_checks,-,-,-,"0 FAIL, 1 WARN, 9 total checks",2026-09-05T13:57:50.611655+00:00
fsc,integrity_checks,-,-,-,"0 FAIL, 0 WARN, 13 total checks",2026-09-05T13:57:50.626716+00:00
slurp,calibration_evaluation,-,existing VoxIntel-R risk (no new calibrator fit),existing evaluation population (8688),H2 evaluated on existing risk only; SLURP has no validation split to fit sigmoid/isotonic on.,2026-09-05T13:57:51.012746+00:00
slurp,calibration_evaluation,-,existing VoxIntel-R risk (no new calibrator fit),existing evaluation population (8688),H2 evaluated on existing risk only; SLURP has no validation split to fit sigmoid/isotonic on.,2026-09-05T14:00:18.863278+00:00
slurp,calibration_evaluation,-,existing VoxIntel-R risk (no new calibrator fit),existing evaluation population (8688),H2 evaluated on existing risk only; SLURP has no validation split to fit sigmoid/isotonic on.,2026-09-05T14:01:46.866431+00:00
slurp,calibration_evaluation,-,existing VoxIntel-R risk (no new calibrator fit),existing evaluation population (8688),H2 evaluated on existing risk only; SLURP has no validation split to fit sigmoid/isotonic on.,2026-09-05T14:02:46.820179+00:00
slurp,selective_prediction_evaluation,-,threshold-free curves on existing risk; descriptive-only operating point,existing evaluation population (8688),"No threshold fit on a held-out split -- SLURP has none. Descriptive operating point is computed and evaluated on the same population and is labeled accordingly, not treated as a generalization estimate.",2026-09-05T14:02:47.907678+00:00
