intent,scenario,ground_truth,baseline_transcript,finetuned_transcript,baseline_primary_error_type,baseline_confidence,baseline_alignment_summary,baseline_impact,baseline_correct,finetuned_correct
calendar_remove,calendar,please delete all reminder of sunday,PRESENLLY ALL REMIND HER OF SUNDAY,PLEASE DELETE AL REMINDER OF SUNDAY,proper_noun_error,0.9965604,replace:please delete->presenlly | replace:reminder->remind her,high_impact,False,True
qa_factoid,qa,the following question asks you to analyze teacher goals and actions intended,THE FORTER QUESTION ASKED YOU TO ANALYZE TEACH IN GODS AND ACTIONS INTENDED,THE FOLOWING QUESTION ASK YOU TO ANALYZE TOU TO GOLDS AND ACTIONS INTENDED,proper_noun_error,0.9964641,replace:following->forter | replace:asks->asked | replace:teacher goals->teach in gods,high_impact,False,False
alarm_query,alarm,how many alarms do i have set for morning hours between six and nine am,ARE YOU ARMSA HAVE SAID FOR MORNING HOUR BETWEEN SEAS AND RAN,HOW MANY ALARMS DO I HAVE SET FOR MORNING HOURS BETWEN SIX AND NINE AM,number_error,0.9963481,replace:how many alarms do i->are you armsa | replace:set->said | replace:hours->hour | replace:six->seas | replace:nine am->ran,high_impact,False,True
calendar_remove,calendar,delete the next event on the calendar,TO LEAD THE NEXT EVENT ON THE CALENDAR,DELETE THE NEXT EVENT ON THE CALENDAR,proper_noun_error,0.9960226,replace:delete->to lead,high_impact,False,True
calendar_query,calendar,please tell me the pending reminders,PLEASE TELL ME TO PENDING REMIND US,PLEASE TEL ME THE PENDING REMINDERS,proper_noun_error,0.9959632,replace:the->to | replace:reminders->remind us,high_impact,False,True
calendar_remove,calendar,delete meeting,MEET MEETIN,DEMETE METING,proper_noun_error,0.9958116,replace:delete meeting->meet meetin,high_impact,False,True
qa_factoid,qa,the following question asks you to analyze teacher goals and actions intended,THE FOLLOWING QUESTION ASKED YOU TO ANALYZE TEACH OU GODS AND ACTIONS INTENDED,THE FOLOWING QUESTION ASK YOU TO ANALYZE TEACHER GOADS AND ACTIONS INTENDED,proper_noun_error,0.9955752,replace:asks->asked | replace:teacher goals->teach ou gods,high_impact,False,False
lists_createoradd,lists,remind me to order more soap,REMIND ME TO OLL DE MORESOUP,REMIND ME TO ORDER MORE SOAP,proper_noun_error,0.9954894,replace:order more soap->oll de moresoup,high_impact,False,False
social_query,social,what was the last thing my mom said,WHAT WAS LOT I THINK MY MOUSICK,WHAT WOES THE LAST TAKE MY MOUTH SIAK,proper_noun_error,0.99532664,replace:the last thing->lot i think | replace:mom said->mousick,high_impact,False,False
qa_factoid,qa,the following question asks you to analyze teacher goals and actions intended,THE FOLLOWING QUESTION ASKED YOU TO ANALYZE TEACH OF GALLS AND ACTIONS INTENDED,THE FOLOWING QUESTION ASKED YOU TO ANALYZE TEACHER GOALS AND ACTIONS INTENDED,proper_noun_error,0.9952408,replace:asks->asked | replace:teacher goals->teach of galls,high_impact,False,False
cooking_recipe,cooking,can you suggest me a healthy foods for dinner,THEN YOU SURDERSED ME A HEALTHY FOOT FOR DINNER,CAN YOU SUGEST ME A HEALTHY FOT FOR DINER,proper_noun_error,0.9951924,replace:can->then | replace:suggest->surdersed | replace:foods->foot,high_impact,False,False
qa_factoid,qa,the following question asks you to analyze teacher goals and actions intended,THE FOLLOWING QUESTION ASKED YOU TO ANALYZE TEACHER GIRLS AND ACTIONS INTENDED,THE FOLOWING QUESTION ASKD YOU TO ANALYZE TEACHER GIRLS AND ACTIONS INTENDED,proper_noun_error,0.99439275,replace:asks->asked | replace:goals->girls,high_impact,False,False
qa_stock,qa,turn on notification for all news on the stock market,THERNALTIFICATION FOR ALL NEWS ON THE STOKMARK,TURN NOTIFICATION FOR AL NEWS ON THE STOCK MARKET,proper_noun_error,0.994279,replace:turn on notification->thernaltification | replace:stock market->stokmark,high_impact,False,True
calendar_remove,calendar,clear my day from meetings,CARE MY DAY FOR ME TO,CLEAR MY DAY FOR METING,proper_noun_error,0.9942731,replace:clear->care | replace:from meetings->for me to,high_impact,False,True
qa_factoid,qa,has sally fields ever won an academy award,AND AW YOU FEELD EVER ONE IN A GIND ME A REWOER,AR SALY FILS EVERY WONE IN A CALETOMY OROBOBER,number_error,0.9939985,replace:has sally fields->and aw you feeld | replace:won an academy award->one in a gind me a rewoer,high_impact,False,False
qa_factoid,qa,at what age michael phelps got married,A WA  SMILE ABOUTSKAT MATTERS,AT WHAT AGE SHOULD MI OBEL SCAF MARIED,proper_noun_error,0.9939772,replace:at what age michael phelps got married->a wa smile aboutskat matters,high_impact,False,False
news_query,news,update me with the election results,OH DAI THE ANETHE RESULTS,UPDATID WITH THE ELECTION RESULTS,proper_noun_error,0.9938783,replace:update me with->oh dai | replace:election->anethe,high_impact,False,True
iot_hue_lightup,iot,turn up the lights in here please,TAUGHT UP THE LIFE AN HAV HE,TURN OF THE LIGHTS IN HRPA,proper_noun_error,0.99386966,replace:turn->taught | replace:lights in here please->life an hav he,high_impact,False,True
qa_factoid,qa,when was justin bieber born,WE WAS JUST AN YE WERE GONT LITL  YEARS,WHEN HS JUSTIN BIEBERBOD LIONTE PLAYERS,proper_noun_error,0.99383414,replace:when->we | replace:justin bieber born->just an ye were gont litl years,high_impact,False,True
